Trials

NORMAL THROW #1
1052 ACCEL: X:0.75, Y:0.40, Z:0.28   GYRO: X:38.83'/s, Y:-42.70'/s, Z:61.82'/s
1298 ACCEL: X:1.44, Y:0.50, Z:0.26   GYRO: X:21.43'/s, Y:-70.77'/s, Z:35.60'/s
1496 ACCEL: X:2.36, Y:1.07, Z:0.58   GYRO: X:-17.88'/s, Y:-47.13'/s, Z:-213.34'/s
1680 ACCEL: X:0.85, Y:1.44, Z:0.32   GYRO: X:24.08'/s, Y:-34.50'/s, Z:-256.00'/s
1878 ACCEL: X:-0.10, Y:-0.32, Z:0.02   GYRO: X:-6.59'/s, Y:56.91'/s, Z:-100.17'/s
2072 ACCEL: X:-0.22, Y:-0.93, Z:-0.04   GYRO: X:1.45'/s, Y:0.70'/s, Z:19.15'/s
2272 ACCEL: X:0.78, Y:-0.83, Z:-0.15   GYRO: X:-0.68'/s, Y:-21.84'/s, Z:36.88'/s
2465 ACCEL: X:1.37, Y:-1.65, Z:-0.19   GYRO: X:-33.08'/s, Y:-11.78'/s, Z:-67.61'/s
2657 ACCEL: X:0.31, Y:-0.40, Z:0.09   GYRO: X:-26.90'/s, Y:-26.37'/s, Z:-256.00'/s
2851 ACCEL: X:0.09, Y:1.38, Z:0.06   GYRO: X:-11.52'/s, Y:-30.16'/s, Z:-256.00'/s
3060 ACCEL: X:0.39, Y:2.15, Z:0.13   GYRO: X:-18.44'/s, Y:-18.58'/s, Z:-224.96'/s
3295 ACCEL: X:0.81, Y:7.94, Z:0.56   GYRO: X:-2.21'/s, Y:194.76'/s, Z:253.99'/s
3483 ACCEL: X:-0.24, Y:-0.74, Z:-0.02   GYRO: X:252.12'/s, Y:174.93'/s, Z:253.99'/s
3678 ACCEL: X:0.01, Y:-0.73, Z:0.95   GYRO: X:-19.83'/s, Y:253.99'/s, Z:-22.13'/s
3875 ACCEL: X:-0.13, Y:-0.98, Z:-0.49   GYRO: X:-6.02'/s, Y:-8.09'/s, Z:1.41'/s
4075 ACCEL: X:-0.20, Y:-1.00, Z:0.01   GYRO: X:-4.29'/s, Y:4.05'/s, Z:2.40'/s
4270 ACCEL: X:-0.20, Y:-0.98, Z:-0.06   GYRO: X:-1.46'/s, Y:0.53'/s, Z:2.64'/s
4458 ACCEL: X:-0.20, Y:-0.98, Z:-0.06   GYRO: X:-1.53'/s, Y:-0.89'/s, Z:2.83'/s
4664 ACCEL: X:-0.21, Y:-0.99, Z:0.00   GYRO: X:-1.53'/s, Y:-0.80'/s, Z:2.59'/s
4848 ACCEL: X:-0.21, Y:-0.98, Z:-0.07   GYRO: X:-1.62'/s, Y:-0.98'/s, Z:2.48'/s
5049 ACCEL: X:-0.21, Y:-0.98, Z:0.00   GYRO: X:-1.49'/s, Y:-0.78'/s, Z:2.59'/s
5290 ACCEL: X:-0.20, Y:-0.98, Z:-0.07   GYRO: X:-1.48'/s, Y:-0.75'/s, Z:2.52'/s
5484 ACCEL: X:-0.20, Y:-0.99, Z:-0.06   GYRO: X:-1.55'/s, Y:-0.88'/s, Z:2.78'/s
5677 ACCEL: X:-0.20, Y:-0.98, Z:-0.07   GYRO: X:-1.55'/s, Y:-0.78'/s, Z:2.64'/s
5873 ACCEL: X:-0.20, Y:-0.98, Z:-0.06   GYRO: X:-1.62'/s, Y:-0.63'/s, Z:2.39'/s
6068 ACCEL: X:-0.21, Y:-0.98, Z:-0.06   GYRO: X:-1.47'/s, Y:-0.73'/s, Z:2.27'/s
6270 ACCEL: X:-0.20, Y:-0.98, Z:-0.07   GYRO: X:-1.83'/s, Y:-0.70'/s, Z:2.75'/s
6460 ACCEL: X:-0.21, Y:-0.98, Z:0.00   GYRO: X:-1.49'/s, Y:-0.85'/s, Z:2.66'/s
6650 ACCEL: X:-0.21, Y:-0.99, Z:0.00   GYRO: X:-1.47'/s, Y:-0.91'/s, Z:2.65'/s
6845 ACCEL: X:-0.21, Y:-0.98, Z:0.00   GYRO: X:-1.66'/s, Y:-0.60'/s, Z:2.47'/s
7094 ACCEL: X:-0.20, Y:-0.98, Z:-0.06   GYRO: X:-1.48'/s, Y:-0.79'/s, Z:2.57'/s
7284 ACCEL: X:-0.20, Y:-0.99, Z:-0.07   GYRO: X:-1.70'/s, Y:-0.70'/s, Z:2.42'/s
7483 ACCEL: X:-0.21, Y:-0.98, Z:-0.06   GYRO: X:-1.65'/s, Y:-0.69'/s, Z:2.54'/s
